Time of training;Check time;Individual;Medium Type;Distance traveled;Growth
0;9;1;Test;0;0
0;9;1;Control +;0;0
0;9;2;Test;0;0
0;9;2;Control +;0,5;0,055555556
0;9;3;Test;0,5;0,055555556
0;9;3;Control +;0,5;0,055555556
0;9;4;Test;0;0
0;9;4;Control +;2,5;0,277777778
0;9;5;Test;0,1;0,011111111
0;9;5;Control +;0,5;0,055555556
0;9;6;Test;0;0
0;9;6;Control +;1;0,111111111
0;49;1;Test;0;0
0;49;1;Control +;0,1;0,0025
0;49;2;Test;0,5;0,0125
0;49;2;Control +;3;0,0625
0;49;3;Test;1;0,0125
0;49;3;Control +;2,5;0,05
0;49;4;Test;0;0
0;49;4;Control +;5;0,0625
0;49;5;Test;0,1;0
0;49;5;Control +;6,5;0,15
0;49;6;Test;0,5;0,0125
0;49;6;Control +;3,5;0,0625
